request = DwdObservationRequest(
    parameter=[DwdObservationDataset.CLIMATE_SUMMARY, DwdObservationDataset.SOLAR],
    resolution=DwdObservationResolution.DAILY,
    start_date="1990-01-01",
    end_date="2020-01-01",
).filter_by_station_id(station_id=[3, 1048])


"STATION","NAME","DATE","PRCP","SNWD","TMAX","TMIN"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-06","0.00","0.0","64","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-07","0.10","0.0","62","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-08","0.01","0.0","63","51"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-09","0.02","0.0","62","54"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-10","0.02","0.0","59","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-11","0.00","0.0","54","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-12","0.07","0.0","54","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-13","1.07","0.0","48","36"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-14","1.06","0.0","49","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-15","0.20","0.0","53","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-16","0.18","0.0","51","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-17","0.02","0.0","53","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-18","0.00","0.0","53","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-19","0.00","0.0","54","42"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-20","0.00","0.0","54","38"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-21","0.00","0.0","58","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-22","0.04","0.0","73","52"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-23","0.02","0.0","60","53"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-24","0.00","0.0","66","47"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-25","0.00","0.0","64","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-26","0.03","0.0","59","49"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-27","0.00","0.0","57","40"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-28","0.00","0.0","54","39"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-29","0.27","0.0","56","43"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-30","0.40","0.0","57","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-10-31","0.08","0.0","58","46"
"GME00121366","DRESDEN STREHLEN, GM","2020-11-01","0.00","0.0","58","45"
"GME00121366","DRESDEN STREHLEN, GM","2020-11-02","0.01","0.0","70","55"
"GME00121366","DRESDEN STREHLEN, GM","2020-11-03","0.00","0.0","62","50"
"GME00121366","DRESDEN STREHLEN, GM","2020-11-04","0.00","0.0","53","35"
"GME00121366","DRESDEN STREHLEN, GM","2020-11-05","0.00","0.0","53","32"
